Year,Crops,Area,Average_Yield,Production,Autum_Area,Autum_Average_Yield ,Autum_Production,Summer_Area,Summer_Average_Yield,Summer_Production
1999,Potato,14466,2.1,30836.4,12068.5,2.3,27734.5,2397.5,1.3,3102
1999,Radish,542.6,2.8,1512.1,542.6,2.8,1512.1,0,0,0
1999,Spinach,667.2,1.4,961.6,667.2,1.4,961.6,0,0,0
1999,Squash,11925.8,1.4,16136.3,10902.9,1.4,15088.2,1022.9,1,1048.1
1999,Sweet melon,3199.1,2.1,6701.3,39.2,1.8,71,3159.9,2.1,6630.3
1999,Tomatoes,42034.1,3.8,158558.3,33339.6,4.2,141517.6,8694.5,2,17040.7
1999,Turnip,169.1,2.6,432.2,169.1,2.6,432.2,0,0,0
1999,Water melon,502.7,3.4,1699.2,0,0,0,502.7,3.4,1699.2
2000,Beans,15041.3,1.3,11552.3,11944.4,1.2,8986.2,3096.9,1.5,2566.2
2000,Cabbage,2764.2,2.4,6756.6,2464.6,2.3,5625.3,299.6,3.8,1131.3
2000,Carrot,3774.3,2.2,8180,3774.3,2.2,8179.9,0,0,0
2000,Cauliflower,2319.1,2.1,4747.4,2220.9,2,4449.1,98.2,3,298.3
2000,Cowpeas,812.6,0.7,548.3,69.6,0.6,38.1,743,0.7,510.3
2000,Cucumber,7688.9,12.8,71333.7,4366.7,12.2,48651.3,3322.2,13.9,22682.6
2000,Eggplants,14846.1,2.1,30626.2,7522.1,1.7,12535.1,7324,2.5,18091.1
2000,Jew's mallow,13821,1.6,21648.7,1471.4,2,2925.6,12349.6,1.5,18723.1
2000,Lettuce,5090.5,1.8,9249.5,4563.4,1.8,8350.3,527.1,1.7,899.1
2000,Okra,4257,0.5,2139.5,232.7,1.2,285.2,4024.3,0.5,1854.4
2000,Onion dry,3541.2,2.1,7593.2,2197,1.9,4127.1,1344.2,2.6,3466.2
2000,Onion green,3261,3.6,11815,2675.3,4,10761.4,585.7,1.8,1053.6
2000,Others_(Vegetables),4416.7,1.9,8294,2986.9,1.9,5521.5,1429.8,1.9,2772.4
2000,Parsley,1150.7,1.9,2148.6,1109.1,1.8,2028.4,41.6,2.9,120.2
2000,Peas,366,1,358.1,366,1,358,0,0,0
2000,Pepper,6719.8,4.8,15684.8,4888.5,5.1,12511.2,1831.3,3.8,3173.2
2000,Potato,14935.8,2.2,32974.3,11147.1,2.1,23902,3788.7,2.4,9072.4
2000,Radish,343,1.2,418.4,343,1.2,418.4,0,0,0
2000,Spinach,862.9,1.9,1643.9,862.9,1.9,1643.9,0,0,0
2000,Squash,13452.1,0.9,12223.2,11070.3,0.8,9036,2381.8,1.3,3187.2
2000,Sweet melon,6358.3,2.8,17920.6,323,2.7,857.3,6035.3,2.8,17063.2
2000,Tomatoes,45469.3,4.9,220747.2,29565.7,5,146577.4,15903.6,4.7,74170
2000,Turnip,28.1,1.6,43.5,28.1,1.6,43.5,0,0,0
2000,Water melon,2281.2,3.7,8378.6,0,0,0,2281.2,3.7,8378.6
2001,Beans,12194.4,2.3,15014.1,11563.8,2.4,14358.4,630.6,1.9,655.7
2001,Cabbage,2785.3,2.3,6519.9,1950.7,1.7,3246,834.6,3.9,3274.1
2001,Carrot,2227.8,1.1,2539,2227.8,1.1,2539.1,0,0,0
2001,Cauliflower,3766.9,2.2,8109.7,3345.3,2,6601.6,421.6,3.6,1508.1
2001,Cowpeas,555.4,1.3,728,83.9,1.1,91.7,471.5,1.4,636.3
2001,Cucumber,6327.4,11.5,56623.8,5642.2,11.9,54640.9,685.2,11.3,1982.8
2001,Eggplants,18433.5,1.8,33049.1,10796.2,1.9,20713.1,7637.3,1.6,12335.9
2001,Jew's mallow,13066.5,1.9,24495.7,2118.1,2.7,5676,10948.4,1.7,18819.5
2001,Lettuce,4925.9,1.8,8814,3927.2,1.6,6414.8,998.7,2.4,2399.2
2001,Okra,3735.2,1.1,4074.9,362.1,1.4,520,3373.1,1.1,3554.7
2001,Onion dry,2667,3.5,9384.2,1828.9,3.2,5811.2,838.1,4.3,3572.9
2001,Onion green,1838.7,2.5,4519.6,1457.7,1.9,2798,381,4.5,1721.6
2001,Others_(Vegetables),2690.5,2.3,6130.2,2111.6,2.2,4726,578.9,2.4,1404.2
2001,Parsley,1168.8,2.6,3077.9,1128.2,2.6,2973.7,40.6,2.6,104.2
2001,Peas,43.2,0.1,4.3,43.2,0.1,4.3,0,0,0
2001,Pepper,7146,5.2,17871.9,5573.2,5.3,14618.8,1572.8,4.6,3253
2001,Potato,18188.3,2,36580.7,14740,1.9,28359.2,3448.3,2.4,8221.5
2001,Radish,518.3,1.6,832.4,518.3,1.6,832.4,0,0,0
2001,Spinach,507,2.4,1191.6,507,2.4,1191.6,0,0,0
2001,Squash,14582.4,1.4,19902.7,13113.8,1.4,18073.5,1468.6,1.3,1829.2
2001,Sweet melon,5794.8,3.5,20194.7,0,0,0,5794.8,3.5,20194.7
2001,Tomatoes,36890.2,3.8,138859.9,28512.5,3.8,106909.5,8377.7,3.8,31950.4
2001,Turnip,6.8,2.5,17.3,6.8,2.5,17.3,0,0,0
2001,Water melon,1850.7,2.2,4120.7,324.3,3.5,1135.1,1526.4,2,2985.6
2002,Beans,10334.7,4.2,22362.9,8661.6,4.2,18369.6,1673.1,5,3993.4
2002,Cabbage,3734.3,3.5,13223.6,3574.8,3.5,12649.8,159.5,3.6,573.8
2002,Carrot,954.5,2.4,2299.4,954.5,2.4,2299.4,0,0,0
2002,Cauliflower,2399,3.2,7783.8,2292.5,3.3,7504.5,106.5,2.6,279.4
2002,Cowpeas,615.7,1.9,1188,19.8,2.8,54.4,595.9,1.9,1133.7
2002,Cucumber,6045.2,19.4,93817.1,5564,16.2,90129.6,481.2,20.5,3687.5
2002,Eggplants,17950.5,3.1,54704.6,7899.7,2.6,20618,10050.8,3.4,34086.5
2002,Jew's mallow,14878.1,3.7,54257.5,113.4,6.5,737,14764.7,3.6,53520.5
2002,Lettuce,3125.2,2.2,6830.8,3091.9,2.2,6766.6,33.3,1.9,64.3
2002,Okra,2483.1,2.8,7001.6,6.7,3.5,23.3,2476.4,2.8,6978.2
2002,Onion dry,1272.7,4.1,5169.7,1272.7,4.1,5169.7,0,0,0
2002,Onion green,2452.9,6,14689.8,2108.2,5.9,12449.1,344.7,6.5,2240.6
2002,Others_(Vegetables),1926,3.3,6373,1646.6,3.4,5542.4,279.4,3,830.6
2002,Parsley,1613,3,4808.1,1486.6,2.8,4081.1,126.4,5.8,726.9
2002,Peas,106,1.7,181.7,106,1.7,181.7,0,0,0
2002,Pepper,6778.9,8.7,29199.5,4564.1,9.5,21983.3,2214.8,7,7216.3
2002,Potato,17441.7,3,52466.8,14639.1,2.7,39052.5,2802.6,4.8,13414.2
2002,Radish,483,3.3,1572.7,483,3.3,1572.7,0,0,0
2002,Spinach,589,3.3,1963.6,482.7,3.3,1599.7,106.3,3.4,363.8
2002,Squash,12323.6,2.5,30714,10312.8,2.4,24820.5,2010.8,2.9,5893.6
2002,Sweet melon,5534.5,4.4,24327.8,26.7,4.5,120,5507.8,4.4,24207.8
2002,Tomatoes,36706.3,5.6,205682.9,23447.3,4.7,110171.8,13259,7.2,95511.1
2002,Turnip,62.9,3.5,220.4,56.3,3.5,197.2,6.6,3.5,23.2
2002,Water melon,5837.6,5.1,29798.7,0,0,0,5837.6,5.1,29798.7
2003,Beans,9234.7,3.2,14635.7,7409.7,3.3,11595.6,1825,3.1,3040.3
2003,Cabbage,3959,3.6,14366,3347.5,3.7,12378,611.5,3.3,1987.8
2003,Carrot,1932,3.2,6195.4,1879,3.2,6019.4,53,3.3,176
2003,Cauliflower,3454.5,2.9,9959,3048.5,2.9,8829.2,406,2.8,1129.7
2003,Cowpeas,629.5,1.1,706.7,108,1.1,115.4,521.5,1.1,591.3
2003,Cucumber,7236.5,11,62617.4,6020.5,10.8,55998.9,1216,11,6618.5
2003,Eggplants,21695.1,3.3,71253.3,12038.8,3.2,38150.7,9656.3,3.4,33102.5
2003,Jew's mallow,10811,2.7,29577.3,1674,3,5064.9,9137,2.7,24512.4
2003,Lettuce,6012.5,2.6,15751.7,4728,2.6,12263.5,1284.5,2.7,3488.2
2003,Okra,4795.5,1.6,7548,545.5,1.3,690.4,4250,1.6,6857.6
2003,Onion dry,2103,2.7,5610.1,1676,2.5,4153.2,427,3.4,1456.9
2003,Onion green,810.5,3.5,2832.1,210.5,3.5,731.5,600,3.5,2100.6
2003,Others_(Vegetables),2245.9,2.3,5180.4,1526,2.6,3952.6,719.9,1.7,1227.6
2003,Parsley,914,3.7,3410.1,726,4,2889.9,188,2.8,520.2
2003,Peas,312,1.2,376.4,309,1.2,372.3,3,1.4,4.1
2003,Pepper,7815,6.5,25065,6254.5,6.2,19250.3,1560.5,7.6,5814.9
2003,Potato,16089.2,3.3,53262.8,13600.7,3.4,46046.1,2488.5,2.9,7216.7
2003,Radish,321,2.1,662.3,270,2,547.5,51,2.3,114.8
2003,Spinach,626.5,3.3,2066.1,583.5,3.3,1949.1,43,2.7,117
2003,Squash,17195.3,2.1,35308.5,12714.3,1.9,24477.5,4481,2.4,10831
2003,Sweet melon,1601.5,3.8,6086.7,71.5,3.8,269.4,1530,3.8,5817.3
2003,Tomatoes,46829.1,5.6,259910.6,35170.6,5.7,200704.6,11658.5,5.1,59206.1
2003,Turnip,70,1.9,131.5,47,2,92.9,23,1.7,38.6
2003,Water melon,2670.5,4.1,11013.8,77,6.8,523.6,2593.5,4,10490.1
2004,Beans,9234.7,3.2,14635.7,7409.7,3.3,11595.6,1825,3.1,3040.3
2004,Cabbage,3959,3.6,14366,3347.5,3.7,12378,611.5,3.3,1987.8
2004,Carrot,1932,3.2,6195.4,1879,3.2,6019.4,53,3.3,176
2004,Cauliflower,3454.5,2.9,9959,3048.5,2.9,8829.2,406,2.8,1129.7
2004,Cowpeas,629.5,1.1,706.7,108,1.1,115.4,521.5,1.1,591.3
2004,Cucumber,7236.5,11,62617.4,6020.5,10.8,55998.9,1216,11,6618.5
2004,Eggplants,21695.1,3.3,71253.3,12038.8,3.2,38150.7,9656.3,3.4,33102.5
