Year,Crops,Area,Average_Yield,Production,Autum_Area,Autum_Average_Yield ,Autum_Production,Summer_Area,Summer_Average_Yield,Summer_Production
2011,Jew's mallow,1086,2.2,2418.5,62.5,3,185.8,1023.5,2.2,2232.8
2011,Lettuce,1045,2.2,2301.2,877,2.1,1797.3,168,3,503.9
2011,Okra,3042.8,1.5,4552.2,27,1.5,41.7,3015.8,1.5,4510.5
2011,Onion dry,610,2.6,1603.5,353.5,2.6,920.2,256.5,2.7,683.3
2011,Others_(Vegetables),390,1.4,555.1,200,1.5,291.6,190,1.4,263.5
2011,Parsley,96,2.5,238.8,78,2.5,196.2,18,2.4,42.6
2011,Peas,42.8,3.4,144.4,28.5,3.5,98.5,14.3,3.2,45.9
2011,Pepper,3619.8,8.5,16760.2,2974.3,9,14874.3,645.5,7.3,1885.8
2011,Potato,7152.5,2.4,17459.6,5705.5,2.4,13851.2,1447,2.5,3608.4
2011,Radish,372.5,2.5,924,170,2.5,426.1,202.5,2.5,497.9
2011,Spinach,235.5,4.4,1027.1,154.5,4.3,664.3,81,4.5,362.8
2011,Squash,5141.5,2.9,15016.9,3223.5,3,9797.2,1918,2.7,5219.6
2011,Sweet melon,148.5,6.3,933.5,13.5,7.4,99.6,135,6.2,833.8
2011,Tomatoes,6608.5,5,33209.1,3679.5,5.9,21863,2929,3.9,11346.1
2011,Turnip,27,3.2,85.3,9,3.1,27.7,18,3.2,57.6
2011,Water melon,230,4.4,1009.8,0,0,0,230,4.4,1009.8
2012,Beans,2270,2,1923.8,1802.5,1.9,1124.7,467.5,2.2,799.1
2012,Cabbage,480,4,1901.3,445,4,1778.8,35,3.5,122.5
2012,Carrot,17,3.9,66.3,0,0,0,17,3.9,66.3
2012,Cauliflower,563,2,1103.4,516,1.9,985.9,47,2.5,117.5
2012,Cowpeas,292,0.4,116.8,12,0.4,4.8,280,0.4,112
2012,Cucumber,2238,7.4,13672.4,2007,6.6,11867,231,11.3,1805.4
2012,Eggplants,1824,4.2,7587.1,693,5.9,4098.5,1131,3.1,3488.5
2012,Jew's mallow,1293.5,1.2,1563.2,46.5,3,138.7,1247,1.1,1424.4
2012,Lettuce,1279.5,1.5,1940.3,1046,1.5,1590,233.5,1.5,350.3
2012,Okra,3225.3,0.4,1204.4,44,0.2,10.4,3181.3,0.4,1193.9
2012,Onion dry,221,2.3,512.1,178,2.3,408.4,43,2.4,103.7
2012,Onion green,10,3.8,38.4,10,3.8,38.4,0,0,0
2012,Others_(Vegetables),494,2.1,1022.3,259.5,2.8,735.3,234.5,1.2,287
2012,Parsley,48,2.5,120,43,2.5,107.5,5,2.5,12.5
2012,Peas,34,3,103,30,3,91,4,3,12
2012,Pepper,3233.5,5.8,8420.7,2473.5,7.2,6697.2,760,4.5,1723.5
2012,Potato,9164.5,2.5,22958.9,8273,2.5,20601,891.5,2.6,2357.9
2012,Radish,219,2,436.2,166,2.5,415,53,0.4,21.2
2012,Spinach,145,2.6,379.7,107,2.5,267.9,38,2.9,111.8
2012,Squash,4067,1.7,6883.4,3066,1.6,4768.5,1001,2.1,2115
2012,Sweet melon,91,6.8,614,30,6,180,61,7.1,434
2012,Tomatoes,4753.5,4.5,21516.1,3392.5,4.5,15223.1,1361,4.6,6293
2012,Turnip,48.5,1.8,84.9,29.5,1.2,35.4,19,2.6,49.5
2012,Water melon,10,3.5,35,0,0,0,10,3.5,35
2013,Beans,2696.5,4,5351,1661.5,4.4,3362.2,1035,3.7,1988.9
2013,Cabbage,500.5,4.7,2370.3,482.5,4.8,2290.2,18,4.5,80.1
2013,Carrot,37,4.2,155.9,37,4.2,155.9,0,0,0
2013,Cauliflower,616,3.1,1885.6,457,3.1,1422.6,159,2.9,462.9
2013,Cowpeas,168,1.9,324.3,0,0,0,168,1.9,324.4
2013,Cucumber,2214.5,9.4,15413.1,1898.5,9.3,13433,316,9.1,1980
2013,Eggplants,2025.7,3.5,6995.6,726.7,4.1,2977.5,1299,3.1,4018
2013,Jew's mallow,1522.5,1.9,2896.1,8,1.5,12,1514.5,1.9,2884.1
2013,Lettuce,1441,3.8,5540.2,1352,3.8,5164.6,89,4.2,375.6
2013,Okra,2171,1.4,3034.2,17,1.2,20.8,2154,1.4,3013.4
2013,Onion dry,5.5,3.3,18,3.5,3.3,11.6,2,3.2,6.4
2013,Onion green,307,2.3,695.9,266.5,2.3,610.2,40.5,2.1,85.7
2013,Others_(Vegetables),586,1.9,1119.1,257,2,501.2,329,1.9,617.8
2013,Parsley,97,2.9,282.7,62,2.8,174.4,35,3.1,108.3
